GEOID,NAME,median_home_value
17031170500,Census Tract 1705; Cook County; Illinois,350100.0
17031170600,Census Tract 1706; Cook County; Illinois,338900.0
17031170700,Census Tract 1707; Cook County; Illinois,412400.0
17031170800,Census Tract 1708; Cook County; Illinois,353500.0
17031170900,Census Tract 1709; Cook County; Illinois,299400.0
17031171000,Census Tract 1710; Cook County; Illinois,373500.0
17031171100,Census Tract 1711; Cook County; Illinois,353400.0
17031180100,Census Tract 1801; Cook County; Illinois,345800.0
17031190100,Census Tract 1901; Cook County; Illinois,347600.0
17031190200,Census Tract 1902; Cook County; Illinois,358100.0
17031190300,Census Tract 1903; Cook County; Illinois,350200.0
17031190401,Census Tract 1904.01; Cook County; Illinois,394700.0
17031190402,Census Tract 1904.02; Cook County; Illinois,317600.0
17031190601,Census Tract 1906.01; Cook County; Illinois,321500.0
17031190602,Census Tract 1906.02; Cook County; Illinois,296700.0
17031190701,Census Tract 1907.01; Cook County; Illinois,333000.0
17031190702,Census Tract 1907.02; Cook County; Illinois,335500.0
17031190800,Census Tract 1908; Cook County; Illinois,355900.0
17031190900,Census Tract 1909; Cook County; Illinois,351100.0
17031191000,Census Tract 1910; Cook County; Illinois,299000.0
17031191100,Census Tract 1911; Cook County; Illinois,325800.0
17031191200,Census Tract 1912; Cook County; Illinois,259500.0
17031191301,Census Tract 1913.01; Cook County; Illinois,297600.0
17031191302,Census Tract 1913.02; Cook County; Illinois,278900.0
17031200100,Census Tract 2001; Cook County; Illinois,325100.0
17031200200,Census Tract 2002; Cook County; Illinois,328900.0
17031200300,Census Tract 2003; Cook County; Illinois,317600.0
17031200401,Census Tract 2004.01; Cook County; Illinois,325700.0
17031200402,Census Tract 2004.02; Cook County; Illinois,295100.0
17031210100,Census Tract 2101; Cook County; Illinois,465200.0
17031210400,Census Tract 2104; Cook County; Illinois,361000.0
17031210501,Census Tract 2105.01; Cook County; Illinois,391600.0
17031210502,Census Tract 2105.02; Cook County; Illinois,479400.0
17031210601,Census Tract 2106.01; Cook County; Illinois,489400.0
17031210602,Census Tract 2106.02; Cook County; Illinois,441100.0
17031210700,Census Tract 2107; Cook County; Illinois,492600.0
17031210800,Census Tract 2108; Cook County; Illinois,547100.0
17031210900,Census Tract 2109; Cook County; Illinois,576800.0
17031220300,Census Tract 2203; Cook County; Illinois,478100.0
17031220400,Census Tract 2204; Cook County; Illinois,766100.0
17031220500,Census Tract 2205; Cook County; Illinois,481000.0
17031220601,Census Tract 2206.01; Cook County; Illinois,648300.0
17031220602,Census Tract 2206.02; Cook County; Illinois,623000.0
17031220701,Census Tract 2207.01; Cook County; Illinois,496700.0
17031220702,Census Tract 2207.02; Cook County; Illinois,523800.0
17031220901,Census Tract 2209.01; Cook County; Illinois,522800.0
17031220902,Census Tract 2209.02; Cook County; Illinois,493800.0
17031221000,Census Tract 2210; Cook County; Illinois,450700.0
17031221100,Census Tract 2211; Cook County; Illinois,382100.0
17031221200,Census Tract 2212; Cook County; Illinois,633300.0
17031221300,Census Tract 2213; Cook County; Illinois,746900.0
17031221400,Census Tract 2214; Cook County; Illinois,673900.0
17031221500,Census Tract 2215; Cook County; Illinois,681000.0
17031221600,Census Tract 2216; Cook County; Illinois,869000.0
17031222200,Census Tract 2222; Cook County; Illinois,894700.0
17031222500,Census Tract 2225; Cook County; Illinois,610600.0
17031222600,Census Tract 2226; Cook County; Illinois,485700.0
17031222700,Census Tract 2227; Cook County; Illinois,414800.0
17031222800,Census Tract 2228; Cook County; Illinois,599100.0
17031222900,Census Tract 2229; Cook County; Illinois,440000.0
17031230100,Census Tract 2301; Cook County; Illinois,684700.0
17031230200,Census Tract 2302; Cook County; Illinois,486100.0
17031230300,Census Tract 2303; Cook County; Illinois,512800.0
17031230400,Census Tract 2304; Cook County; Illinois,419600.0
17031230500,Census Tract 2305; Cook County; Illinois,376100.0
17031230600,Census Tract 2306; Cook County; Illinois,283900.0
17031230700,Census Tract 2307; Cook County; Illinois,358900.0
17031230800,Census Tract 2308; Cook County; Illinois,335700.0
17031230900,Census Tract 2309; Cook County; Illinois,455300.0
17031231100,Census Tract 2311; Cook County; Illinois,293100.0
17031231200,Census Tract 2312; Cook County; Illinois,230100.0
17031231500,Census Tract 2315; Cook County; Illinois,307300.0
17031240200,Census Tract 2402; Cook County; Illinois,788500.0
17031240300,Census Tract 2403; Cook County; Illinois,903800.0
17031240500,Census Tract 2405; Cook County; Illinois,545600.0
17031240600,Census Tract 2406; Cook County; Illinois,602600.0
17031240700,Census Tract 2407; Cook County; Illinois,581300.0
17031240800,Census Tract 2408; Cook County; Illinois,663900.0
17031240900,Census Tract 2409; Cook County; Illinois,460800.0
17031241000,Census Tract 2410; Cook County; Illinois,411800.0
17031241100,Census Tract 2411; Cook County; Illinois,516400.0
17031241200,Census Tract 2412; Cook County; Illinois,575200.0
17031241300,Census Tract 2413; Cook County; Illinois,616200.0
17031241400,Census Tract 2414; Cook County; Illinois,698300.0
17031241500,Census Tract 2415; Cook County; Illinois,718200.0
17031241600,Census Tract 2416; Cook County; Illinois,545800.0
17031242000,Census Tract 2420; Cook County; Illinois,611200.0
17031242100,Census Tract 2421; Cook County; Illinois,646800.0
17031242200,Census Tract 2422; Cook County; Illinois,679200.0
17031242300,Census Tract 2423; Cook County; Illinois,545600.0
17031242400,Census Tract 2424; Cook County; Illinois,628300.0
17031242500,Census Tract 2425; Cook County; Illinois,601400.0
17031242600,Census Tract 2426; Cook County; Illinois,582400.0
17031242700,Census Tract 2427; Cook County; Illinois,554300.0
17031242800,Census Tract 2428; Cook County; Illinois,671900.0
17031242900,Census Tract 2429; Cook County; Illinois,492700.0
17031243000,Census Tract 2430; Cook County; Illinois,479700.0
17031243100,Census Tract 2431; Cook County; Illinois,780600.0
17031243200,Census Tract 2432; Cook County; Illinois,665400.0
17031243300,Census Tract 2433; Cook County; Illinois,664600.0
17031243400,Census Tract 2434; Cook County; Illinois,462700.0
17031243500,Census Tract 2435; Cook County; Illinois,601300.0
17031250200,Census Tract 2502; Cook County; Illinois,276500.0
17031250300,Census Tract 2503; Cook County; Illinois,299100.0
17031250400,Census Tract 2504; Cook County; Illinois,257300.0
17031250500,Census Tract 2505; Cook County; Illinois,333100.0
17031250600,Census Tract 2506; Cook County; Illinois,265600.0
17031250700,Census Tract 2507; Cook County; Illinois,239300.0
17031250800,Census Tract 2508; Cook County; Illinois,268500.0
17031251000,Census Tract 2510; Cook County; Illinois,242600.0
17031251100,Census Tract 2511; Cook County; Illinois,239400.0
17031251200,Census Tract 2512; Cook County; Illinois,242200.0
17031251300,Census Tract 2513; Cook County; Illinois,271800.0
17031251400,Census Tract 2514; Cook County; Illinois,315100.0
17031251500,Census Tract 2515; Cook County; Illinois,241100.0
17031251600,Census Tract 2516; Cook County; Illinois,206100.0
17031251700,Census Tract 2517; Cook County; Illinois,244600.0
17031251800,Census Tract 2518; Cook County; Illinois,266300.0
17031251900,Census Tract 2519; Cook County; Illinois,233500.0
17031252000,Census Tract 2520; Cook County; Illinois,245800.0
17031252101,Census Tract 2521.01; Cook County; Illinois,244800.0
17031252102,Census Tract 2521.02; Cook County; Illinois,197100.0
17031252201,Census Tract 2522.01; Cook County; Illinois,239900.0
17031252202,Census Tract 2522.02; Cook County; Illinois,257100.0
17031260100,Census Tract 2601; Cook County; Illinois,325500.0
17031260200,Census Tract 2602; Cook County; Illinois,162500.0
