"GEO_ID","NAME","B25077_001E","B25077_001M",
"Geography","Geographic Area Name","Estimate!!Median value (dollars)","Margin of Error!!Median value (dollars)",
"1400000US17031051400","Census Tract 514; Cook County; Illinois","630900","74097",
"1400000US17031060100","Census Tract 601; Cook County; Illinois","667000","164709",
"1400000US17031060200","Census Tract 602; Cook County; Illinois","674300","223404",
"1400000US17031060300","Census Tract 603; Cook County; Illinois","782900","130304",
"1400000US17031060400","Census Tract 604; Cook County; Illinois","649300","49871",
"1400000US17031060500","Census Tract 605; Cook County; Illinois","912500","101988",
"1400000US17031060800","Census Tract 608; Cook County; Illinois","219100","23407",
"1400000US17031060900","Census Tract 609; Cook County; Illinois","250000","54825",
"1400000US17031061000","Census Tract 610; Cook County; Illinois","575700","53871",
"1400000US17031061100","Census Tract 611; Cook County; Illinois","608700","38476",
"1400000US17031061200","Census Tract 612; Cook County; Illinois","851300","107847",
"1400000US17031061500","Census Tract 615; Cook County; Illinois","708300","225626",
"1400000US17031061800","Census Tract 618; Cook County; Illinois","479100","71253",
"1400000US17031061901","Census Tract 619.01; Cook County; Illinois","298200","46598",
"1400000US17031061902","Census Tract 619.02; Cook County; Illinois","395500","46704",
"1400000US17031062000","Census Tract 620; Cook County; Illinois","565300","266913",
"1400000US17031062100","Census Tract 621; Cook County; Illinois","626500","251746",
"1400000US17031062200","Census Tract 622; Cook County; Illinois","678600","68969",
"1400000US17031062300","Census Tract 623; Cook County; Illinois","1145500","160399",
"1400000US17031062400","Census Tract 624; Cook County; Illinois","789200","123716",
"1400000US17031062500","Census Tract 625; Cook County; Illinois","566700","61925",
"1400000US17031062600","Census Tract 626; Cook County; Illinois","829400","91740",
"1400000US17031062700","Census Tract 627; Cook County; Illinois","670900","92186",
"1400000US17031062800","Census Tract 628; Cook County; Illinois","741400","137735",
"1400000US17031062900","Census Tract 629; Cook County; Illinois","697600","98708",
"1400000US17031063000","Census Tract 630; Cook County; Illinois","604500","147768",
"1400000US17031063100","Census Tract 631; Cook County; Illinois","577900","134378",
"1400000US17031063200","Census Tract 632; Cook County; Illinois","352200","100658",
"1400000US17031063301","Census Tract 633.01; Cook County; Illinois","276000","30391",
"1400000US17031063302","Census Tract 633.02; Cook County; Illinois","491400","63232",
"1400000US17031063303","Census Tract 633.03; Cook County; Illinois","317900","39118",
"1400000US17031063400","Census Tract 634; Cook County; Illinois","640600","251037",
"1400000US17031070101","Census Tract 701.01; Cook County; Illinois","490100","182639",
"1400000US17031070102","Census Tract 701.02; Cook County; Illinois","744300","454413",
"1400000US17031070103","Census Tract 701.03; Cook County; Illinois","-","**",
"1400000US17031070200","Census Tract 702; Cook County; Illinois","704300","104831",
"1400000US17031070300","Census Tract 703; Cook County; Illinois","633900","138164",
"1400000US17031070400","Census Tract 704; Cook County; Illinois","809500","158161",
"1400000US17031070500","Census Tract 705; Cook County; Illinois","840600","147775",
"1400000US17031070600","Census Tract 706; Cook County; Illinois","838100","85647",
"1400000US17031070700","Census Tract 707; Cook County; Illinois","631400","34782",
"1400000US17031071000","Census Tract 710; Cook County; Illinois","1010200","208691",
"1400000US17031071100","Census Tract 711; Cook County; Illinois","1556900","158613",
"1400000US17031071200","Census Tract 712; Cook County; Illinois","952300","462343",
"1400000US17031071300","Census Tract 713; Cook County; Illinois","494100","180936",
"1400000US17031071400","Census Tract 714; Cook County; Illinois","491700","111197",
"1400000US17031071500","Census Tract 715; Cook County; Illinois","401600","85985",
"1400000US17031071600","Census Tract 716; Cook County; Illinois","1140400","196270",
"1400000US17031071700","Census Tract 717; Cook County; Illinois","948100","123336",
"1400000US17031071800","Census Tract 718; Cook County; Illinois","903900","59371",
"1400000US17031080100","Census Tract 801; Cook County; Illinois","575900","167283",
"1400000US17031080201","Census Tract 802.01; Cook County; Illinois","256300","19483",
"1400000US17031080202","Census Tract 802.02; Cook County; Illinois","360800","104985",
"1400000US17031080300","Census Tract 803; Cook County; Illinois","557200","139405",
"1400000US17031080400","Census Tract 804; Cook County; Illinois","700400","136255",
"1400000US17031081000","Census Tract 810; Cook County; Illinois","741300","102864",
"1400000US17031081100","Census Tract 811; Cook County; Illinois","398000","136075",
"1400000US17031081201","Census Tract 812.01; Cook County; Illinois","697600","164692",
"1400000US17031081202","Census Tract 812.02; Cook County; Illinois","801100","168258",
"1400000US17031081300","Census Tract 813; Cook County; Illinois","481800","151602",
"1400000US17031081401","Census Tract 814.01; Cook County; Illinois","456100","182042",
"1400000US17031081402","Census Tract 814.02; Cook County; Illinois","636300","101520",
"1400000US17031081403","Census Tract 814.03; Cook County; Illinois","854700","468688",
"1400000US17031081500","Census Tract 815; Cook County; Illinois","674300","413736",
"1400000US17031081600","Census Tract 816; Cook County; Illinois","416700","60107",
"1400000US17031081700","Census Tract 817; Cook County; Illinois","477600","49145",
"1400000US17031081800","Census Tract 818; Cook County; Illinois","539800","67065",
"1400000US17031081900","Census Tract 819; Cook County; Illinois","486900","143820",
"1400000US17031090100","Census Tract 901; Cook County; Illinois","445600","22934",
"1400000US17031090200","Census Tract 902; Cook County; Illinois","461100","61087",
"1400000US17031090300","Census Tract 903; Cook County; Illinois","502400","59595",
"1400000US17031100100","Census Tract 1001; Cook County; Illinois","464000","21427",
"1400000US17031100200","Census Tract 1002; Cook County; Illinois","413900","36387",
"1400000US17031100300","Census Tract 1003; Cook County; Illinois","436000","27312",
"1400000US17031100400","Census Tract 1004; Cook County; Illinois","426700","17058",
"1400000US17031100500","Census Tract 1005; Cook County; Illinois","360400","28447",
"1400000US17031100600","Census Tract 1006; Cook County; Illinois","360800","13018",
"1400000US17031100700","Census Tract 1007; Cook County; Illinois","405600","20327",
"1400000US17031110100","Census Tract 1101; Cook County; Illinois","428200","72671",
"1400000US17031110200","Census Tract 1102; Cook County; Illinois","415600","56450",
"1400000US17031110300","Census Tract 1103; Cook County; Illinois","398200","22978",
"1400000US17031110400","Census Tract 1104; Cook County; Illinois","377400","31790",
"1400000US17031110501","Census Tract 1105.01; Cook County; Illinois","408900","24692",
"1400000US17031110502","Census Tract 1105.02; Cook County; Illinois","345500","38602",
"1400000US17031120100","Census Tract 1201; Cook County; Illinois","581300","34117",
"1400000US17031120200","Census Tract 1202; Cook County; Illinois","587100","23686",
"1400000US17031120300","Census Tract 1203; Cook County; Illinois","520100","77011",
"1400000US17031120400","Census Tract 1204; Cook County; Illinois","415700","39203",
"1400000US17031130100","Census Tract 1301; Cook County; Illinois","475000","45381",
"1400000US17031130200","Census Tract 1302; Cook County; Illinois","352500","12061",
"1400000US17031130300","Census Tract 1303; Cook County; Illinois","431200","38306",
"1400000US17031140100","Census Tract 1401; Cook County; Illinois","331900","71997",
"1400000US17031140200","Census Tract 1402; Cook County; Illinois","291200","31782",
"1400000US17031140301","Census Tract 1403.01; Cook County; Illinois","407600","97619",
"1400000US17031140302","Census Tract 1403.02; Cook County; Illinois","413100","60452",
"1400000US17031140400","Census Tract 1404; Cook County; Illinois","430900","21352",
"1400000US17031140500","Census Tract 1405; Cook County; Illinois","403400","47024",
"1400000US17031140601","Census Tract 1406.01; Cook County; Illinois","415600","50317",
"1400000US17031140602","Census Tract 1406.02; Cook County; Illinois","401200","151176",
"1400000US17031140701","Census Tract 1407.01; Cook County; Illinois","352400","53297",
"1400000US17031140702","Census Tract 1407.02; Cook County; Illinois","411000","64446",
"1400000US17031140800","Census Tract 1408; Cook County; Illinois","504400","164230",
"1400000US17031150200","Census Tract 1502; Cook County; Illinois","417900","35917",
"1400000US17031150300","Census Tract 1503; Cook County; Illinois","338200","52022",
"1400000US17031150401","Census Tract 1504.01; Cook County; Illinois","374600","28295",
"1400000US17031150402","Census Tract 1504.02; Cook County; Illinois","400900","33118",
"1400000US17031150501","Census Tract 1505.01; Cook County; Illinois","379300","24735",
"1400000US17031150502","Census Tract 1505.02; Cook County; Illinois","388600","35689",
"1400000US17031150600","Census Tract 1506; Cook County; Illinois","442300","27028",
"1400000US17031150700","Census Tract 1507; Cook County; Illinois","394400","43753",
"1400000US17031150800","Census Tract 1508; Cook County; Illinois","352700","23036",
"1400000US17031151001","Census Tract 1510.01; Cook County; Illinois","377700","24729",
"1400000US17031151002","Census Tract 1510.02; Cook County; Illinois","364700","65399",
"1400000US17031151100","Census Tract 1511; Cook County; Illinois","408700","40325",
"1400000US17031151200","Census Tract 1512; Cook County; Illinois","369000","15811",
"1400000US17031160100","Census Tract 1601; Cook County; Illinois","380700","37056",
"1400000US17031160200","Census Tract 1602; Cook County; Illinois","577900","45683",
"1400000US17031160300","Census Tract 1603; Cook County; Illinois","256800","35872",
"1400000US17031160400","Census Tract 1604; Cook County; Illinois","622000","106374",
"1400000US17031160501","Census Tract 1605.01; Cook County; Illinois","400000","120325",
"1400000US17031160502","Census Tract 1605.02; Cook County; Illinois","442200","56688",
"1400000US17031160601","Census Tract 1606.01; Cook County; Illinois","369000","30755",
"1400000US17031160602","Census Tract 1606.02; Cook County; Illinois","408600","87941",
"1400000US17031160700","Census Tract 1607; Cook County; Illinois","579500","52723",
"1400000US17031160800","Census Tract 1608; Cook County; Illinois","543800","59088",
"1400000US17031160900","Census Tract 1609; Cook County; Illinois","478900","41611",
"1400000US17031161000","Census Tract 1610; Cook County; Illinois","605600","71198",
"1400000US17031161100","Census Tract 1611; Cook County; Illinois","633200","42524",
"1400000US17031161200","Census Tract 1612; Cook County; Illinois","435500","32828",
"1400000US17031161300","Census Tract 1613; Cook County; Illinois","443600","73911",
"1400000US17031170100","Census Tract 1701; Cook County; Illinois","263600","11674",
"1400000US17031170200","Census Tract 1702; Cook County; Illinois","332600","18569",
"1400000US17031170300","Census Tract 1703; Cook County; Illinois","357900","12923",
"1400000US17031170400","Census Tract 1704; Cook County; Illinois","343500","9847",
"1400000US17031170500","Census Tract 1705; Cook County; Illinois","350100","26796",
"1400000US17031170600","Census Tract 1706; Cook County; Illinois","338900","26935",
"1400000US17031170700","Census Tract 1707; Cook County; Illinois","412400","48410",
"1400000US17031170800","Census Tract 1708; Cook County; Illinois","353500","32320",
"1400000US17031170900","Census Tract 1709; Cook County; Illinois","299400","38204",
"1400000US17031171000","Census Tract 1710; Cook County; Illinois","373500","17103",
"1400000US17031171100","Census Tract 1711; Cook County; Illinois","353400","21408",
"1400000US17031180100","Census Tract 1801; Cook County; Illinois","345800","19407",
"1400000US17031190100","Census Tract 1901; Cook County; Illinois","347600","12405",
